2026-05-13 14:40:09.519 DeanF:    Updated one hour and 10 minutes prior to last poll at 13/05/2026 14:29:45
2026-05-13 14:40:09.519 DeanF:    
2026-05-13 14:40:09.519 DeanF:    METAR EGSH 131320Z COR 25008KT 9999 VCSH FEW026 SCT032 BKN037 10/06 Q0998 NOSIG
2026-05-13 14:40:09.519 DeanF:    
2026-05-13 14:40:09.519 DeanF:    Rainfall: Showers in the vicinity   
2026-05-13 14:40:09.519 DeanF:    Direction : W
2026-05-13 14:40:09.519 DeanF:    Wind : Gentle breeze strength force 3, speed 8 knots 
2026-05-13 14:40:09.519 DeanF:    Visibility : Daylight, 6+ miles
2026-05-13 14:40:09.519 DeanF:    Clouds : Partly cloudy + Mostly cloudy at 2600, 3700 ft. 
2026-05-13 14:40:09.519 DeanF:    Humidity : 76 % 
2026-05-13 14:40:09.519 DeanF:    Temperature: 10 C 
2026-05-13 14:40:09.519 DeanF:    Pressure: 998 mb 
2026-05-13 14:40:09.519 DeanF:    NORWICH, UNITED KINGDOM 
2026-05-13 14:40:09.519 DeanF:    EGSH NORWICH INTERNATIONAL AIRPORT, 
2026-05-13 14:40:09.519 DeanF:    Wednesday 13 May 2026 13:20:00 GMT+0000 (GMT Standard Time)
2026-05-13 14:39:57.738 DeanF:    sunny now, April all day
2026-05-13 14:39:45.648 DeanF:    good to hear it
2026-05-13 12:30:34.586 DeanF:    its a secret!
2026-05-13 12:30:27.303 DeanF:    I'll tell you about it later
2026-05-13 12:30:13.791 DeanF:    I am just spending money on my next business venture
2026-05-13 12:29:55.611 DeanF:    all well?
2026-05-13 12:29:50.475 DeanF:    Anything new to tell me?
2026-05-13 12:26:58.063 DeanF:    Hello!
2026-05-13 12:26:52.080 DeanF:    Hello!
2026-05-12 22:00:31.076 DeanF:    ToodlePip!
2026-05-12 15:34:08.120 DeanF:    more like April
2026-05-12 15:34:03.209 DeanF:    Raining on/off here for the last few days
2026-05-12 09:04:29.742 DeanF:    did a little coding
2026-05-12 09:04:23.170 DeanF:    Updated one hour and 35 minutes prior to last poll at 12/05/2026 09:55:02
2026-05-12 09:04:23.170 DeanF:    
2026-05-12 09:04:23.170 DeanF:    METAR EGSH 120820Z COR 24010KT 200V270 CAVOK 10/02 Q1013 NOSIG
2026-05-12 09:04:23.170 DeanF:    
2026-05-12 09:04:23.170 DeanF:    Direction : WSW
2026-05-12 09:04:23.170 DeanF:    Wind : Gentle breeze strength force 3, speed 10 knots 
2026-05-12 09:04:23.170 DeanF:    Visibility : Daylight, 6+ miles
2026-05-12 09:04:23.170 DeanF:    Clouds : Ceiling and visibility OK 
2026-05-12 09:04:23.170 DeanF:    Humidity : 58 % 
2026-05-12 09:04:23.170 DeanF:    Temperature: 10 C 
2026-05-12 09:04:23.170 DeanF:    Pressure: 1013 mb 
2026-05-12 09:04:23.170 DeanF:    NORWICH, UNITED KINGDOM 
2026-05-12 09:04:23.170 DeanF:    EGSH NORWICH INTERNATIONAL AIRPORT, 
2026-05-12 09:04:23.170 DeanF:    Tuesday 12 May 2026 08:20:00 GMT+0000 (GMT Standard Time)
2026-05-12 09:04:03.231 DeanF:    all well?
2026-05-12 09:03:59.821 DeanF:    Good Morning!
2026-05-11 21:23:45.056 DeanF:    GoodNigit Harry!
2026-05-11 11:44:25.294 DeanF:    just as I was painting the front gate
2026-05-11 11:44:11.356 DeanF:    raining here, not meant to be
2026-05-11 11:43:51.451 DeanF:    all well?
2026-05-11 11:43:46.788 DeanF:    Good day!
2026-05-10 11:53:23.432 DeanF:    now no pain in wrist
2026-05-10 11:53:15.568 DeanF:    and the mouse on the left is really now for other finger clicks for menus &c
2026-05-10 11:52:46.344 DeanF:    using a Wacom-style tablet on my right with a pen as a pointer
2026-05-10 11:52:27.576 DeanF:    swapped the mouse to my left hand due to wrist pain
2026-05-10 11:52:08.560 DeanF:    scudding clouds with gaps showing the sun
2026-05-10 11:51:24.905 DeanF:    doing a job that I can achieve before it starts to rain and causes flash rust
2026-05-10 11:51:07.111 DeanF:    painting the front gate after stripping it of paint, just one/half
2026-05-10 11:50:43.207 DeanF:    Good day to you!
2026-05-09 21:29:59.704 DeanF:    GoodNigit Harry!
2026-05-09 21:29:55.292 DeanF:    ToodlePip!
2026-05-09 19:38:49.520 DeanF:    lovely and sunny
2026-05-09 19:38:35.960 DeanF:    all good here
2026-05-09 15:52:27.778 DeanF:    Updated one hour and 31 minutes prior to last poll at 09/05/2026 16:50:49
2026-05-09 15:52:27.778 DeanF:    
2026-05-09 15:52:27.778 DeanF:    METAR EGSH 091520Z COR 04008KT 010V090 CAVOK 17/02 Q1018 NOSIG
2026-05-09 15:52:27.778 DeanF:    
2026-05-09 15:52:27.778 DeanF:    Direction : NE
2026-05-09 15:52:27.778 DeanF:    Wind : Gentle breeze strength force 3, speed 8 knots 
2026-05-09 15:52:27.778 DeanF:    Visibility : Daylight, 6+ miles
2026-05-09 15:52:27.778 DeanF:    Clouds : Ceiling and visibility OK 
2026-05-09 15:52:27.778 DeanF:    Humidity : 37 % 
2026-05-09 15:52:27.778 DeanF:    Temperature: 17 C 
2026-05-09 15:52:27.778 DeanF:    Pressure: 1018 mb 
2026-05-09 15:52:27.778 DeanF:    NORWICH, UNITED KINGDOM 
2026-05-09 15:52:27.777 DeanF:    EGSH NORWICH INTERNATIONAL AIRPORT, 
2026-05-09 15:52:27.777 DeanF:    Saturday 09 May 2026 15:20:00 GMT+0000 (GMT Standard Time)
2026-05-09 15:52:16.176 DeanF:    I can feel it in my bones
2026-05-09 15:52:10.609 DeanF:    I am getting back intot he swing soon enough
2026-05-09 15:51:59.778 DeanF:    no programming here for weeks
2026-05-09 15:51:49.801 DeanF:    good to know you have people coming that know what to do and care
2026-05-08 10:07:14.564 DeanF:    Updated one hour and 14 minutes prior to last poll at 08/05/2026 11:03:41
2026-05-08 10:07:14.564 DeanF:    
2026-05-08 10:07:14.564 DeanF:    METAR EGSH 080950Z COR 17004KT 070V230 CAVOK 15/05 Q1018 NOSIG
2026-05-08 10:07:14.564 DeanF:    
2026-05-08 10:07:14.564 DeanF:    Direction : S
2026-05-08 10:07:14.564 DeanF:    Wind : Light breeze strength force 2, speed 4 knots 
2026-05-08 10:07:14.564 DeanF:    Visibility : Daylight, 6+ miles
2026-05-08 10:07:14.564 DeanF:    Clouds : Ceiling and visibility OK 
2026-05-08 10:07:14.564 DeanF:    Humidity : 51 % 
2026-05-08 10:07:14.564 DeanF:    Temperature: 15 C 
2026-05-08 10:07:14.564 DeanF:    Pressure: 1018 mb 
2026-05-08 10:07:14.564 DeanF:    NORWICH, UNITED KINGDOM 
2026-05-08 10:07:14.564 DeanF:    EGSH NORWICH INTERNATIONAL AIRPORT, 
2026-05-08 10:07:14.564 DeanF:    Friday 08 May 2026 09:50:00 GMT+0000 (GMT Standard Time)
2026-05-08 10:07:03.472 DeanF:    daughter passed her driving test yesterday
2026-05-08 10:06:51.680 DeanF:    Good Morning!
2026-05-07 09:13:26.853 DeanF:    making good progress here
2026-05-07 09:13:16.337 DeanF:    Updated one hour and 17 minutes prior to last poll at 07/05/2026 10:07:23
2026-05-07 09:13:16.337 DeanF:    
2026-05-07 09:13:16.337 DeanF:    METAR EGSH 070850Z COR VRB01KT 9999 SCT020 BKN026 11/05 Q1017 NOSIG
2026-05-07 09:13:16.337 DeanF:    
2026-05-07 09:13:16.337 DeanF:    Direction : N
2026-05-07 09:13:16.337 DeanF:    Wind : Light air ripples strength force 1, speed 1 knots 
2026-05-07 09:13:16.337 DeanF:    Visibility : Daylight, 6+ miles
2026-05-07 09:13:16.337 DeanF:    Clouds : Scattered clouds + Mostly cloudy at 2000, 2600 ft. 
2026-05-07 09:13:16.337 DeanF:    Humidity : 67 % 
2026-05-07 09:13:16.337 DeanF:    Temperature: 11 C 
2026-05-07 09:13:16.337 DeanF:    Pressure: 1017 mb 
2026-05-07 09:13:16.337 DeanF:    NORWICH, UNITED KINGDOM 
2026-05-07 09:13:16.337 DeanF:    EGSH NORWICH INTERNATIONAL AIRPORT, 
2026-05-07 09:13:16.337 DeanF:    Thursday 07 May 2026 08:50:00 GMT+0000 (GMT Standard Time)
2026-05-07 09:13:02.350 DeanF:    all well?
